"Commit Hash";"MongoDB Label";"Prob. False";"Prob. True";"Classification"
d2da02cf6654b60948408cdcaaf9c520e8d1bc0e;not_triaged;0.568;0.432;FALSE
30e8a51186bc02cd4b4003ddaaa9d2764d5d797a;not_triaged;0.278;0.722;TRUE
c36d0bfc237c36c34518771864a49dcf78527e9b;not_triaged;0.87;0.13;FALSE
1298c67a6a246eaa0905986478af0d4919ef8d89;not_triaged;1;0;FALSE
af4b105ce8cbbcd5ece444c5167211fd7321f379;not_triaged;0.986;0.014;FALSE
3c9bdbf7a96eae083f7057694719f10c8c0b00cb;not_triaged;0.996;0.004;FALSE
fd131cf1a817713b563bd641bbbe5371b1f4664d;not_triaged;1;0;FALSE
0fa77a1a545f7a4a5e20429efe3fc861c4f3cf51;not_triaged;1;0;FALSE
1298c67a6a246eaa0905986478af0d4919ef8d89;not_triaged;0.992;0.008;FALSE
3c9bdbf7a96eae083f7057694719f10c8c0b00cb;not_triaged;0.998;0.002;FALSE
fd131cf1a817713b563bd641bbbe5371b1f4664d;not_triaged;0.998;0.002;FALSE
9fde6f9838a46a0ad98e6391bdc1e8d2c845c448;not_triaged;0.998;0.002;FALSE
f696fa0f8836290a56b5a3ceaf754a41036627ae;not_triaged;0.986;0.014;FALSE
36597e8ce4fcf00e777bca348929c1530a79c699;not_triaged;0.86;0.14;FALSE
d0004a3e0239570a2602af35f14a84a47fb290b1;not_triaged;0.95;0.05;FALSE
36597e8ce4fcf00e777bca348929c1530a79c699;not_triaged;0.852;0.148;FALSE
d0004a3e0239570a2602af35f14a84a47fb290b1;not_triaged;0.954;0.046;FALSE
d0004a3e0239570a2602af35f14a84a47fb290b1;not_triaged;0.96;0.04;FALSE
d0004a3e0239570a2602af35f14a84a47fb290b1;not_triaged;0.956;0.044;FALSE
1256d8e67a6b4bb88875cbc112987bbc8fffe76b;not_triaged;0.882;0.118;FALSE
c056a09f74176ead595068351689a14f95b2c5c5;not_triaged;0.95;0.05;FALSE
815d4e362bac8a5113d7102d1b717ceeab1f233e;not_triaged;0.94;0.06;FALSE
2356323b3049fd0e5da21861dd3bd231c5c6e066;not_triaged;0.84;0.16;FALSE
